BookID,BookTitle,AuthorName,BookPrice,BookPublisher,BookPublicationDate,BookQuantity
55,I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,49.92,Random House,"Jul 18, 2013",1
56,Civil War: Volume 1,Mark Millar,51.16,Marvel Entertainment,"Jan 1, 2011",15
57,The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,62.1,Penguin,"Dec 24, 2012",14
58,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,98.42,Hachette UK,"Oct 15, 2019",4
59,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,50.25,HarperCollins,"Sep 5, 2017",19
60,After Anna,Alex Lake,20.51,HarperCollins UK,"Jul 30, 2015",4
61,The Art Of Seduction,Robert Greene,74.99,Profile Books,"Sep 3, 2010",15
62,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,"Jun 30, 2008",11
63,Marketing (The Brian Tracy Success Library),Brian Tracy,29.4,AMACOM,"Jun 11, 2014",9
64,Furies of Calderon,Jim Butcher,14.29,Penguin,"Jun 28, 2005",5
65,The Art Of Seduction,Robert Greene,74.99,Profile Books,"Sep 3, 2010",17
66,The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,"Feb 16, 2010",10
67,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,3.9,Harper Collins,"Oct 13, 2009",11
69,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,39.34,Bantam,"Jan 1, 2003",3
70,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,39.34,Bantam,"Jan 1, 2003",16
71,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,"Sep 22, 2016",2
72,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,0,Simon and Schuster,"Nov 18, 2014",8
73,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,23.85,Penguin,"Nov 15, 1986",12
74,Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",56.14,Harper Collins,"Jun 2, 2009",11
75,Bring Me Back,B A Paris,30.71,HarperCollins UK,"Mar 8, 2018",6
76,Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,96.12,Harper Collins,"Jul 19, 2011",0
77,How to Understand Business Finance: Edition 2,Bob Cinnamon,46.85,Kogan Page Publishers,"Apr 3, 2010",13
78,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,98.42,Hachette UK,"Oct 15, 2019",10
79,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,"Jul 1, 2015",0
80,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,33.42,Tor Fantasy,"Jul 20, 2010",18
81,Batman: Year One,Frank Miller,59.03,DC,"Jan 10, 2007",5
82,Attack on Titan: Volume 13,Hajime Isayama,43.28,Kodansha Comics,"Jul 31, 2014",8
83,How To Win Friends and Influence People,Dale Carnegie,51.15,Simon and Schuster,"Aug 24, 2010",7
84,Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,"Nov 14, 2019",15
85,Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,33.14,Andrews McMeel Publishing,"Oct 20, 2015",12
86,Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,33.14,Andrews McMeel Publishing,"Oct 20, 2015",7
87,Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,15.19,DGS,"Nov 3, 2015",14
88,Rework,Jason Fried,71.63,Currency,"Mar 9, 2010",11
89,The Red Signal: An Agatha Christie Short Story,Agatha Christie,7.5,HarperCollins UK,"Sep 1, 2011",5
90,Dark Nights: Metal: Deluxe Edition: Issues 1-6,Scott Snyder,118.11,DC Comics,"Jun 12, 2018",15
91,How To Win Friends and Influence People,Dale Carnegie,51.15,Simon and Schuster,"Aug 24, 2010",15
92,The Memoirs of Sherlock Holmes,Sir Arthur Conan Doyle,2.73,Courier Corporation,"May 11, 2012",13
93,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,"Apr 21, 2010",5
94,Permanent Record,Edward Snowden,49.58,Metropolitan Books,"Sep 17, 2019",20
95,The Marine's E-Mail Order Bride: Heroes of Chance Creek Volume 4,Cora Seton,15.72,One Acre Press,"Jan 7, 2015",12
96,Morning Star,Pierce Brown,62.1,Del Rey,"Feb 9, 2016",0
97,Now or Never: A Novel,Elizabeth Adler,31.46,Island Books,"Jul 7, 2010",5
98,Battle Sight Zero,Gerald Seymour,94.48,Hachette UK,"Jan 10, 2019",10
99,Shattered Bonds,Faith Hunter,31.46,Penguin,"Oct 29, 2019",19
100,"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,24.94,HarperCollins UK,"Aug 4, 2011",7
101,"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,14.96,Morgan Rice,"Aug 3, 2016",17
102,The Red Signal: An Agatha Christie Short Story,Agatha Christie,7.5,HarperCollins UK,"Sep 1, 2011",19
103,"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,14.96,Morgan Rice,"Aug 3, 2016",13
104,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,29.21,HarperCollins UK,"Mar 6, 2009",13
105,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,41.82,Pan Macmillan,"Oct 17, 2019",13
106,Death Masks,Jim Butcher,39.34,Penguin Group,"Aug 5, 2003",11
107,"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,72.16,Random House,"Sep 30, 2013",14
108,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,50.25,Harper Collins,"May 12, 2014",0
109,The Choice of Magic,Michael G. Manning,11.78,Michael Manning,"Aug 16, 2019",8
110,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,29.29,HarperCollins UK,"Feb 24, 2011",19
112,W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,39.34,Penguin,"Sep 10, 2013",6
113,Sonic: Tangle & Whisper #3,Ian Flynn,7.84,IDW Publishing,"Oct 23, 2019",4
114,Auberon,James S. A. Corey,11.78,Hachette UK,"Nov 12, 2019",19
115,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,26.51,HarperCollins UK,"Sep 1, 2011",0
116,"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,70.85,Marvel Entertainment,"Oct 8, 2014",8
117,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,"Apr 22, 2010",13
118,Captivate: The Science of Succeeding with People,Vanessa Van Edwards,66.87,Penguin,"Apr 25, 2017",19
119,My Little Pony: The Feats of Friendship #2,Ian Flynn,15.72,IDW Publishing,"Oct 30, 2019",6
120,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,3.9,Hachette UK,"Jul 3, 2014",2
121,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,33.72,Morgan Rice,"Feb 25, 2016",6
122,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,98.42,Hachette UK,"Oct 17, 2019",10
123,"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,62.82,Berrett-Koehler Publishers,"Apr 17, 2017",20
124,Antiques Con,Barbara Allan,29.9,Kensington Books,"Apr 1, 2015",15
125,The Art Of Seduction,Robert Greene,74.99,Profile Books,"Sep 3, 2010",0
126,Maigret Goes to School,Georges Simenon,47.78,Penguin,"Jan 2, 2018",14
127,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,"Apr 22, 2010",0
128,A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,18.72,Blake Pierce,"Jun 15, 2017",5
129,Antiques Chop,Barbara Allan,29.9,Kensington Books,"Apr 1, 2014",4
130,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,"Aug 9, 2010",0
131,Principles: Life and Work,Ray Dalio,59.03,Simon and Schuster,"Sep 19, 2017",11
132,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,26.15,Kensington Publishing Corp.,"Jul 1, 2007",7
133,Ask A Footballer,James Milner,98.42,Hachette UK,"Oct 31, 2019",6
134,Young Justice Vol. 1,Art Baltazar,39.34,DC,"Jan 17, 2012",0
135,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,"Jul 1, 2015",8
136,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,33.42,Tor Fantasy,"Jul 20, 2010",8
137,10 Ways to be less consumerist,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,"Nov 21, 2019",3
138,'Salem's Lot,Stephen King,55.1,Hachette UK,"Dec 11, 2008",18
139,Bring Me Back,B A Paris,30.71,HarperCollins UK,"Mar 8, 2018",20
140,Team Sonic Racing Plus Deluxe Turbo Championship Edition one-shot,Caleb Goellner,11.78,IDW Publishing,"May 22, 2019",14
141,Management (The Brian Tracy Success Library),Brian Tracy,38.44,AMACOM,"May 15, 2014",15
142,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,35.44,Harper Collins,"Feb 18, 2014",17
143,Strawberry Shortcake Murder,Joanne Fluke,43.36,Kensington Books,"Oct 1, 2011",13
144,Batman and Robin Vol. 1: Batman Reborn,Grant Morrison,59.03,DC,"Apr 5, 2011",13
145,Killer Blonde,Laura Levine,73.67,Kensington Books,"Sep 1, 2008",19
146,The Black Box,Michael Connelly,43.28,Hachette UK,"Nov 22, 2012",8
147,Management (The Brian Tracy Success Library),Brian Tracy,38.44,AMACOM,"May 15, 2014",1
148,Legacy,Shannon Messenger,43.28,Simon and Schuster,"Nov 5, 2019",11
149,Gangster: A Novel,Lorenzo Carcaterra,31.46,Ballantine Books,"Jul 30, 2002",17
150,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,"Apr 22, 2010",16
151,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,18.72,Morgan Rice,"Sep 7, 2015",19
152,Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,"Nov 14, 2019",13
153,"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,62.82,Berrett-Koehler Publishers,"Apr 17, 2017",12
154,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,33.72,Morgan Rice,"Feb 25, 2016",15
