BookID,BookTitle,AuthorName,BookPrice,BookPublisher,BookPublicationDate,BookQuantity
253,Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,33.14,Andrews McMeel Publishing,"Oct 20, 2015",0
254,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,41.82,Pan Macmillan,"Oct 17, 2019",2
255,Platform: Get Noticed in a Noisy World,Michael Hyatt,73.92,HarperCollins Leadership,"May 21, 2012",12
256,Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,43.28,Marvel Entertainment,"Jan 15, 2014",11
257,Diabolical,Jana DeLeon,23.59,Jana DeLeon,"Aug 8, 2016",18
258,Introducing Critical Theory: A Graphic Guide,Stuart Sim,23.4,Icon Books,"Jan 1, 2004",18
259,Final Option,Clive Cussler,71.63,Penguin,"Nov 5, 2019",1
260,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,69.24,Bloomsbury Publishing,"Oct 17, 2019",12
261,The Secret,Rhonda Byrne,47.22,Simon and Schuster,"Feb 26, 2007",13
262,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,"Aug 9, 2010",13
263,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.17,e-artnow,"Jun 2, 2012",4
264,The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,"Jan 19, 2010",4
265,Bring Me Back,B A Paris,30.71,HarperCollins UK,"Mar 8, 2018",2
266,Business Strategy (The Brian Tracy Success Library),Brian Tracy,38.33,AMACOM,"Apr 29, 2015",9
267,Personal Success (The Brian Tracy Success Library),Brian Tracy,29.4,AMACOM,"Jan 6, 2016",0
268,Dead Silent,Shirley Wells,8.85,Harlequin,"Aug 22, 2011",7
270,Total Control,David Baldacci,41.82,Pan Macmillan,"Nov 4, 2011",13
271,Civil War: Volume 1,Mark Millar,51.16,Marvel Entertainment,"Jan 1, 2011",6
272,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,"Sep 22, 2016",13
273,Introducing Critical Theory: A Graphic Guide,Stuart Sim,23.4,Icon Books,"Jan 1, 2004",5
274,A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,33.42,Macmillan,"Apr 20, 2010",20
275,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,"Sep 22, 2016",4
276,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,70.7,W. W. Norton & Company,"Mar 28, 2016",5
277,The Red Signal: An Agatha Christie Short Story,Agatha Christie,7.5,HarperCollins UK,"Sep 1, 2011",2
278,God of War: The Official Novelization,J.M. Barlog,15.82,Titan Books,"Aug 28, 2018",11
279,I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,49.92,Random House,"Jul 18, 2013",2
280,Getting Things Done: The Art of Stress-Free Productivity,David Allen,66.87,Penguin,"Mar 17, 2015",5
281,The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,36.79,Tor Books,"Sep 15, 2000",0
282,The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,35.4,Del Rey,"Feb 12, 2013",17
283,Candide,Voltaire,11.78,Open Road Media,"Jan 27, 2015",18
284,The Vagrant (The Vagrant Trilogy),Peter Newman,34.58,HarperCollins UK,"Apr 23, 2015",1
285,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,66.12,Tor Books,"Feb 1, 2011",2
286,Dork Diaries: Spectacular Superstar,Rachel Renee Russell,33.83,Simon and Schuster,"Oct 31, 2019",3
287,Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,"Nov 14, 2019",20
288,Deadpool Team-Up Vol. 1: Good Buddies,Fred Van Lente,43.28,Marvel Entertainment,04/07/1900,8
289,Batman: Year One,Frank Miller,59.03,DC,"Jan 10, 2007",1
,,,,,,9
291,My Little Pony: Friendship is Magic #45,Thom Zahler,15.72,IDW Publishing,"Aug 31, 2016",5
292,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,"Sep 22, 2016",8
293,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,33.42,Tor Fantasy,"Jul 20, 2010",7
294,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,14.96,Blake Pierce,"Jun 16, 2016",1
295,Batman vs. Superman: The Greatest Battles,Geoff Johns,39.34,DC,"Dec 8, 2015",18
296,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,"Apr 21, 2010",5
297,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,50.25,Harper Collins,"May 12, 2014",10
298,Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,35.41,Marvel Entertainment,"Nov 21, 2018",20
299,Her Royal Spyness,Rhys Bowen,31.46,Penguin,"Jul 1, 2008",5
300,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,26.51,HarperCollins UK,"Sep 1, 2011",17
301,The Art of Super Mario Odyssey,Nintendo,133.85,Dark Horse Comics,"Nov 5, 2019",4
302,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,0,Simon and Schuster,"Nov 18, 2014",16
303,Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,11.21,Bookouture,"May 16, 2018",10
304,Getting Things Done: The Art of Stress-Free Productivity,David Allen,66.87,Penguin,"Mar 17, 2015",15
305,Her Royal Spyness,Rhys Bowen,31.46,Penguin,"Jul 1, 2008",0
306,Shattered Bonds,Faith Hunter,31.46,Penguin,"Oct 29, 2019",11
307,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,81.87,HarperCollins UK,"Apr 20, 2009",3
308,The Vagrant (The Vagrant Trilogy),Peter Newman,34.58,HarperCollins UK,"Apr 23, 2015",4
309,Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,66.91,Marvel Entertainment,"Nov 30, 2016",20
310,The Walking Dead: Compendium 1,Robert Kirkman,157.49,"Image Comics, Inc.","May 19, 2009",11
311,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,29.29,HarperCollins UK,"Feb 24, 2011",5
312,"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,23.59,Selective Entertainment LLC,"Dec 22, 2013",13
313,Summary: The Compound Effect,Nine99 Innovation Lab,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,"Jul 7, 2019",10
314,The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,"Jan 19, 2010",18
315,Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,11.21,Bookouture,"May 16, 2018",10
316,Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,15.19,DGS,"Nov 3, 2015",15
317,W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,39.34,Penguin,"Sep 10, 2013",20
318,Deadpool Kills the Marvel Universe,Cullen Bunn,27.53,Marvel Entertainment,"May 21, 2014",5
319,Antiques Con,Barbara Allan,29.9,Kensington Books,"Apr 1, 2015",16
320,Furies of Calderon,Jim Butcher,14.29,Penguin,"Jun 28, 2005",3
321,Battle Sight Zero,Gerald Seymour,94.48,Hachette UK,"Jan 10, 2019",9
322,You'll Never See Daylight Again,Michaella McCollum,42.16,Kings Road Publishing,"Oct 31, 2019",2
323,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,46.85,Penguin UK,"Sep 28, 2017",1
324,Furies of Calderon,Jim Butcher,14.29,Penguin,"Jun 28, 2005",10
325,The Call of Cthulhu,H. P. Lovecraft,3.71,BookRix,"Oct 17, 2018",2
326,Batman: Earth One,Geoff Johns,59.03,DC,"Jul 10, 2012",11
327,"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,23.59,Selective Entertainment LLC,"Dec 22, 2013",1
328,Summary: The Compound Effect,Nine99 Innovation Lab,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,"Jul 7, 2019",8
329,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,"Jul 1, 2015",5
330,Introducing Critical Theory: A Graphic Guide,Stuart Sim,23.4,Icon Books,"Jan 1, 2004",7
331,The Art of Thinking Clearly,Rolf Dobelli,7.84,Harper Collins,"May 6, 2014",18
332,Auberon,James S. A. Corey,11.78,Hachette UK,"Nov 12, 2019",20
333,Find Me: A Novel,André Aciman,46.88,"Farrar, Straus and Giroux","Oct 29, 2019",11
334,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,33.42,Tor Fantasy,"Jul 20, 2010",14
335,The Infinite Game,Simon Sinek,71.63,Penguin,"Oct 15, 2019",14
336,Civil Engineering Guide for GATE/ PSUs,Disha Experts,2.29,Disha Publications,"Aug 14, 2017",20
337,"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,62.82,Berrett-Koehler Publishers,"Apr 17, 2017",10
338,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,3.71,Bookouture,"Nov 1, 2019",7
339,Attack on Titan: Volume 13,Hajime Isayama,43.28,Kodansha Comics,"Jul 31, 2014",3
340,Batman: Arkham Knight Vol. 3,Peter J. Tomasi,98.42,DC,"Jul 12, 2016",10
341,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,50.25,Harper Collins,"May 12, 2014",15
342,The Art Of Seduction,Robert Greene,74.99,Profile Books,"Sep 3, 2010",3
343,Total Control,David Baldacci,41.82,Pan Macmillan,"Nov 4, 2011",10
344,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,"Apr 21, 2010",19
345,Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,66.9,Dark Horse Comics,"Oct 15, 2019",12
346,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,26.51,HarperCollins UK,"Sep 1, 2011",4
347,The Mysterious Affair at Styles (Poirot),Agatha Christie,19.28,HarperCollins UK,"Oct 14, 2010",14
348,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,"Aug 9, 2010",19
349,The Mysterious Affair at Styles,Agatha Christie,8.7,HarperCollins UK,"Jan 17, 2013",10
350,Antiques Chop,Barbara Allan,29.9,Kensington Books,"Apr 1, 2014",18
351,Killer Blonde,Laura Levine,73.67,Kensington Books,"Sep 1, 2008",4
352,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,62.1,Random House,"Feb 28, 2012",19
353,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,29.29,HarperCollins UK,"Feb 24, 2011",11
354,Diabolical,Jana DeLeon,23.59,Jana DeLeon,"Aug 8, 2016",3
355,The Vagrant (The Vagrant Trilogy),Peter Newman,34.58,HarperCollins UK,"Apr 23, 2015",15
356,Spider-Man: Anti-Venom,Dan Slott,19.65,Marvel Entertainment,"Mar 10, 2010",0
357,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.17,e-artnow,"Jun 2, 2012",17
358,The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,58.99,AMACOM,"Mar 15, 2011",4
359,Deadpool Kills the Marvel Universe,Cullen Bunn,27.53,Marvel Entertainment,"May 21, 2014",8
360,Kingdom Of Strangers,Zoe Ferraris,39.34,Hachette UK,"Jun 7, 2012",8
361,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,53.11,Abrams,"Nov 5, 2019",15
362,Ready Player One,Ernest Cline,39.34,Broadway Books,"Aug 16, 2011",0
363,Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,"Nov 14, 2019",3
364,The Law of Success in Sixteen Lessons,Napoleon Hill,7.84,Simon and Schuster,"May 20, 2013",16
365,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,32.51,Pan Macmillan,"Sep 1, 2009",11
366,Platform: Get Noticed in a Noisy World,Michael Hyatt,73.92,HarperCollins Leadership,"May 21, 2012",18
367,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,70.7,W. W. Norton & Company,"Mar 28, 2016",7
368,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,18.72,Morgan Rice,"Sep 7, 2015",3
369,Salvaged,Madeleine Roux,47.78,Penguin,"Oct 15, 2019",7
370,Diabolical,Jana DeLeon,23.59,Jana DeLeon,"Aug 8, 2016",15
371,Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,47.22,Simon and Schuster,"Feb 18, 2011",9
372,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,29.29,HarperCollins UK,"Feb 24, 2011",4
373,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,69.24,Bloomsbury Publishing,"Oct 17, 2019",18
374,Watchmen (2019 Edition),Alan Moore,98.42,DC Comics,"Jun 18, 2019",20
375,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,"Jun 30, 2008",2
376,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,51.16,Hachette UK,"Oct 13, 2016",10
377,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,26.51,HarperCollins UK,"Sep 1, 2011",17
378,Death Masks,Jim Butcher,39.34,Penguin Group,"Aug 5, 2003",17
379,Marketing (The Brian Tracy Success Library),Brian Tracy,29.4,AMACOM,"Jun 11, 2014",10
380,Batman vs. Superman: The Greatest Battles,Geoff Johns,39.34,DC,"Dec 8, 2015",11
381,The Queen of Nothing (The Folk of the Air #3),Holly Black,36.86,Bonnier Zaffre Ltd.,"Nov 19, 2019",4
382,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,32.36,AMACOM,"Oct 15, 2013",17
383,Business Strategy (The Brian Tracy Success Library),Brian Tracy,38.33,AMACOM,"Apr 29, 2015",9
384,Dark Matter: A Novel,Blake Crouch,28.61,Broadway Books,"Jul 26, 2016",2
385,Total Control,David Baldacci,41.82,Pan Macmillan,"Nov 4, 2011",9
386,The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,43.28,Hachette UK,"May 19, 2016",11
387,Dead Silent,Shirley Wells,8.85,Harlequin,"Aug 22, 2011",8
388,Gangster: A Novel,Lorenzo Carcaterra,31.46,Ballantine Books,"Jul 30, 2002",6
389,Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,31.47,Blake Pierce,"Oct 29, 2019",20
390,"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,265.39,Springer Science & Business Media,"May 3, 2012",16
391,The Queen of Nothing (The Folk of the Air #3),Holly Black,36.86,Bonnier Zaffre Ltd.,"Nov 19, 2019",0
392,HR from the Outside In: Six Competencies for the Future of Human Resources,David Ulrich,133.9,McGraw Hill Professional,"Jul 20, 2012",20
393,Batman: The Man Who Laughs,Ed Brubaker,59.03,DC,"Apr 7, 2015",1
394,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,62.1,Random House,"Feb 28, 2012",14
395,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,32.36,AMACOM,"Oct 15, 2013",9
396,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,51.16,Hachette UK,"Oct 13, 2016",15
398,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,33.72,Morgan Rice,"Feb 25, 2016",10
399,"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,265.39,Springer Science & Business Media,"May 3, 2012",19
400,Boy Erased: A Memoir,Garrard Conley,23.85,Penguin,"May 10, 2016",9
401,Shall We Tell the President?,Jeffrey Archer,41.82,Pan Macmillan,"Apr 1, 2011",9
402,"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,886.08,McGraw Hill Professional,"Oct 22, 2019",15
403,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,33.38,Tim Duggan Books,"Feb 28, 2017",6
404,Working With You is Killing Me: Freeing Yourself from Emotional Traps at Work,Katherine Crowley,78.76,Hachette UK,"Mar 1, 2006",20
405,Ask A Footballer,James Milner,98.42,Hachette UK,"Oct 31, 2019",16
406,The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,"Feb 16, 2010",13
407,Avengers Vol. 1: Avengers World,Jonathan Hickman,43.28,Marvel Entertainment,"Apr 30, 2013",7
408,10 Ways to be less consumerist,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,"Nov 21, 2019",6
409,That Time I got Reincarnated as a Slime 11,Story by FUSE,43.28,Kodansha America LLC,"Oct 15, 2019",2
410,"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,39.34,Vintage Crime/Black Lizard,"Sep 1, 2015",16
411,"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,886.08,McGraw Hill Professional,"Oct 22, 2019",20
412,Management (The Brian Tracy Success Library),Brian Tracy,38.44,AMACOM,"May 15, 2014",9
413,The Mysterious Affair at Styles,Agatha Christie,8.7,HarperCollins UK,"Jan 17, 2013",3
415,Spider-Verse: Volume 1,Dan Slott,118.11,Marvel Entertainment,"Apr 29, 2015",17
416,Mrs. Pollifax Unveiled,Dorothy Gilman,31.46,Ballantine Books,"May 31, 2000",11
417,Getting Things Done: The Art of Stress-Free Productivity,David Allen,66.87,Penguin,"Mar 17, 2015",11
418,The Choice of Magic,Michael G. Manning,11.78,Michael Manning,"Aug 16, 2019",15
419,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,"Jul 1, 2015",1
420,We Should All Be Feminists,Chimamanda Ngozi Adichie,23.85,Vintage,"Jul 29, 2014",19
421,Spider-Man: Kraven's Last Hunt,J. M. DeMatteis,43.28,Marvel Entertainment,"Dec 10, 2014",1
422,The Umbrella Academy: Apocalypse Suite #1,Gerard Way,7.84,Dark Horse Comics (Single Issues),"Sep 23, 2015",4
423,Final Option: 'The best one yet',Clive Cussler,93.75,Penguin UK,"Nov 14, 2019",2
424,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,3.71,Bookouture,"Nov 1, 2019",15
425,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,27.53,Wizards of the Coast,"Apr 21, 2010",5
426,Green Lantern: Secret Origin,Geoff Johns,59.03,DC,"Apr 12, 2011",19
427,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.17,e-artnow,"Jun 2, 2012",4
428,Venomized,Cullen Bunn,35.41,Marvel Entertainment,"Jul 25, 2018",12
429,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,29.29,HarperCollins UK,"Feb 24, 2011",2
430,Final Option,Clive Cussler,71.63,Penguin,"Nov 5, 2019",7
431,No One Is Too Small to Make a Difference,Greta Thunberg,38.18,Penguin,"Nov 12, 2019",9
432,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,"Jun 30, 2008",19
433,Find Me: A TOP TEN SUNDAY TIMES BESTSELLER,André Aciman,42.16,Faber & Faber,"Oct 29, 2019",10
434,How to Understand Business Finance: Edition 2,Bob Cinnamon,46.85,Kogan Page Publishers,"Apr 3, 2010",13
435,Shantaram,Gregory David Roberts,55.1,Hachette UK,"Jun 28, 2012",4
436,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,23.85,Penguin,"Nov 15, 1986",7
437,Ready Player One,Ernest Cline,39.34,Broadway Books,"Aug 16, 2011",10
438,Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,47.22,Simon and Schuster,"Feb 18, 2011",15
439,Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,15.19,DGS,"Nov 3, 2015",0
440,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,0,Simon and Schuster,"Nov 18, 2014",12
441,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,86.45,Berrett-Koehler Publishers,"Aug 9, 2010",19
442,The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,43.28,Hachette UK,"Jun 11, 2009",20
443,Batman Vol. 4: Zero Year-Secret City (The New 52),Scott Snyder,66.91,DC,"May 13, 2014",15
444,The Man in the High Castle,Philip K. Dick,55.17,Houghton Mifflin Harcourt,"Jan 24, 2012",8
445,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,51.16,Hachette UK,"Oct 13, 2016",18
446,The Art of Super Mario Odyssey,Nintendo,133.85,Dark Horse Comics,"Nov 5, 2019",11
447,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,81.87,HarperCollins UK,"Apr 20, 2009",10
448,Rogues,George R. R. Martin,52.54,Bantam,"Jun 17, 2014",17
449,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,26.51,HarperCollins UK,"Sep 1, 2011",4
450,After Anna,Alex Lake,20.51,HarperCollins UK,"Jul 30, 2015",13
451,The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,58.99,AMACOM,"Mar 15, 2011",4
452,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,98.42,Hachette UK,"Oct 17, 2019",7
453,"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,23.59,Selective Entertainment LLC,"Dec 22, 2013",4
454,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,18.72,Morgan Rice,"Jul 1, 2015",9
455,How to Win Friends and Influence People,Dale Carnegie,55.47,Random House,"Sep 30, 2010",15
456,Wedge's Gamble: Star Wars Legends (X-Wing),Michael A. Stackpole,31.46,Del Rey,"Jun 28, 2011",16
457,The Call of Cthulhu,H. P. Lovecraft,3.71,BookRix,"Oct 17, 2018",19
458,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,23.85,Penguin,"Nov 15, 1986",14
459,Rework,Jason Fried,71.63,Currency,"Mar 9, 2010",2
460,Spider-Verse: Volume 1,Dan Slott,118.11,Marvel Entertainment,"Apr 29, 2015",13
461,The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,"Jan 19, 2010",17
462,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,55.09,Simon and Schuster,"Nov 1, 2007",20
463,Summary: Think and Grow Rich,Nine99 Innovation Lab,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,"Jul 1, 2019",6
464,No One Is Too Small to Make a Difference,Greta Thunberg,38.18,Penguin,"Nov 12, 2019",1
465,The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,14.96,Bookouture,"Oct 11, 2019",18
466,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,43.28,Hachette UK,"May 21, 2015",6
467,Sonic the Hedgehog #18,Ian Flynn,7.84,IDW Publishing,"Jul 3, 2019",20
468,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,51.16,Hachette UK,"Oct 13, 2016",5
469,God of War: The Official Novelization,J.M. Barlog,15.82,Titan Books,"Aug 28, 2018",13
470,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,46.85,Penguin UK,"Sep 28, 2017",20
471,PSYCHOANALYSIS FOR BEGINNERS: A General Introduction to Psychoanalysis & Dream Psychology,Sigmund Freud,2.06,e-artnow,"Feb 8, 2016",10
472,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,18.72,Morgan Rice,"Sep 7, 2015",9
473,Dark Matter: A Novel,Blake Crouch,28.61,Broadway Books,"Jul 26, 2016",7
474,Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",56.14,Harper Collins,"Jun 2, 2009",9
475,Sonic the Hedgehog #18,Ian Flynn,7.84,IDW Publishing,"Jul 3, 2019",19
476,Darksiders: The Abomination Vault: A Novel,Ari Marmell,57.3,Del Rey,"Jul 24, 2012",19
477,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.9,Hachette UK,"Jan 29, 2015",20
478,Edgedancer: From the Stormlight Archive,Brandon Sanderson,36.79,Tor Books,"Oct 17, 2017",5
479,The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,33.42,Tor Books,"Feb 16, 2010",18
480,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,66.12,Tor Books,"Feb 1, 2011",20
481,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,33.38,Tim Duggan Books,"Feb 28, 2017",11
482,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,78.72,Simon and Schuster,"Jun 30, 2008",12
483,10 Ways to be less consumerist,James Fries,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,"Nov 21, 2019",14
484,Forever Evil,Geoff Johns,98.42,DC,"Sep 9, 2014",10
485,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,98.42,Hachette UK,"Oct 15, 2019",15
486,The Punisher Vol. 1: Black and White,Natahan Edmondson,70.85,Marvel Entertainment,"Aug 20, 2014",13
487,I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,49.92,Random House,"Jul 18, 2013",1
488,Homecoming (A Chloe Fine Psychological Suspense Mystery—Book 5),Blake Pierce,22.47,Blake Pierce,"Oct 29, 2019",11
489,Letting Go,"David R. Hawkins, M.D./Ph.D.",74.78,"Hay House, Inc","Aug 1, 2013",10
490,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,33.72,Morgan Rice,"Feb 25, 2016",20
491,The Mysterious Affair at Styles,Agatha Christie,8.7,HarperCollins UK,"Jan 17, 2013",1
492,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,23.85,Penguin,"Nov 15, 1986",15
493,Salvaged,Madeleine Roux,47.78,Penguin,"Oct 15, 2019",14
494,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,98.42,Hachette UK,"Oct 15, 2019",11
495,Dead Silent,Shirley Wells,8.85,Harlequin,"Aug 22, 2011",4
496,Forever Evil,Geoff Johns,98.42,DC,"Sep 9, 2014",1
497,The Burning White: Book Five of Lightbringer,Brent Weeks,98.42,Hachette UK,"Oct 22, 2019",9
498,Mega Man #1,Ian Flynn,11.78,Archie Comic Publications,"May 4, 2011",19
499,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,32.51,Pan Macmillan,"Sep 1, 2009",8
500,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,3.9,Hachette UK,"Jul 3, 2014",12
501,Strawberry Shortcake Murder,Joanne Fluke,43.36,Kensington Books,"Oct 1, 2011",11
502,Summary: The Compound Effect,Nine99 Innovation Lab,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,"Jul 7, 2019",10
503,Sonic the Hedgehog #22,Ian Flynn,7.84,IDW Publishing,"Oct 23, 2019",18
504,Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,33.14,Andrews McMeel Publishing,"Oct 20, 2015",15
